date,openrecovered,closerecovered,outstandingshares
2006-12-26,24.0,21.2,12800000.0
2006-12-27,19.87,19.27,12800000.0
2006-12-28,19.35,18.85,12800000.0
2006-12-29,18.76,18.88,12800000.0
2007-01-04,18.98,17.92,12800000.0
2007-01-05,17.81,18.18,12800000.0
2007-01-08,18.2,18.7,12800000.0
2007-01-09,18.71,18.91,12800000.0
2007-01-10,18.88,18.78,12800000.0
2007-01-11,18.88,19.03,12800000.0
2007-01-12,18.92,18.25,12800000.0
2007-01-15,18.19,18.94,12800000.0
2007-01-16,19.0,20.83,12800000.0
2007-01-17,21.05,21.2,12800000.0
2007-01-18,21.2,21.64,12800000.0
2007-01-19,21.71,22.02,12800000.0
2007-01-22,22.75,23.2,12800000.0
2007-01-23,23.4,22.34,12800000.0
2007-01-24,22.18,22.08,12800000.0
2007-01-25,21.95,20.75,12800000.0
2007-01-26,20.85,21.48,12800000.0
2007-01-29,21.52,21.72,12800000.0
2007-01-30,21.87,21.02,12800000.0
2007-01-31,21.1,21.21,12800000.0
2007-02-01,21.28,22.5,12800000.0
2007-02-02,22.62,21.74,12800000.0
2007-02-05,21.1,21.19,12800000.0
2007-02-06,21.9,21.87,12800000.0
2007-02-07,22.04,22.3,12800000.0
2007-02-08,22.36,22.03,12800000.0
2007-02-09,22.38,22.31,12800000.0
2007-02-12,22.2,22.99,12800000.0
2007-02-13,22.99,22.99,12800000.0
2007-02-14,23.1,23.76,12800000.0
2007-02-15,23.68,24.0,12800000.0
2007-02-16,24.39,24.0,12800000.0
2007-02-26,24.1,23.97,12800000.0
2007-02-27,23.97,21.67,12800000.0
2007-02-28,21.66,22.44,12800000.0
2007-03-01,22.46,21.35,12800000.0
2007-03-02,21.3,21.78,12800000.0
2007-03-05,21.62,22.38,12800000.0
2007-03-06,22.37,22.35,12800000.0
2007-03-07,22.45,22.53,12800000.0
2007-03-08,22.55,23.5,12800000.0
2007-03-09,23.8,23.0,12800000.0
2007-03-12,23.29,23.6,12800000.0
2007-03-13,23.75,23.56,12800000.0
2007-03-14,23.59,24.0,12800000.0
2007-03-15,26.0,26.4,12800000.0
2007-03-16,27.3,27.6,12800000.0
2007-03-19,26.6,27.25,12800000.0
2007-03-20,27.2,27.8,12800000.0
2007-03-21,27.78,27.22,12800000.0
2007-03-22,27.22,26.66,12800000.0
2007-03-23,26.44,26.88,12800000.0
2007-03-26,26.95,27.28,16000000.0
2007-03-27,27.15,27.2,16000000.0
2007-03-28,27.22,26.67,16000000.0
2007-03-29,26.58,26.0,16000000.0
2007-03-30,26.02,26.69,16000000.0
2007-04-02,26.76,27.04,16000000.0
2007-04-03,27.04,27.5,16000000.0
2007-04-04,27.55,27.3,16000000.0
2007-04-05,27.3,27.86,16000000.0
2007-04-06,27.51,28.11,16000000.0
2007-04-09,28.15,28.92,16000000.0
2007-04-10,28.92,28.92,16000000.0
2007-04-11,29.26,29.0,16000000.0
2007-04-12,28.98,30.49,16000000.0
2007-04-13,32.35,33.54,16000000.0
2007-04-16,34.6,34.4,16000000.0
2007-04-17,33.99,33.43,16000000.0
2007-04-18,33.49,32.45,16000000.0
2007-04-19,32.149541,29.2350499,24000000.0
2007-04-20,29.31016565,30.24160095,24000000.0
2007-04-23,30.30169355,31.08289735,24000000.0
2007-04-24,31.3683372,30.30169355,24000000.0
2007-04-25,30.30169355,30.5270408,24000000.0
2007-04-26,30.947689,30.5570871,24000000.0
2007-04-27,30.5570871,29.5956055,24000000.0
2007-04-30,29.5956055,29.15993415,24000000.0
2007-05-08,29.43035085,30.5871334,24000000.0
2007-05-09,30.5871334,29.5655592,24000000.0
2007-05-10,30.0463,29.745837,24000000.0
2007-05-11,29.5956055,29.3552351,24000000.0
2007-05-14,29.1148647,29.8960685,24000000.0
2007-05-15,29.6256518,29.06979525,24000000.0
2007-05-16,29.2951425,29.94113795,24000000.0
2007-05-17,29.94113795,29.94113795,24000000.0
2007-05-18,30.5270408,31.0678742,24000000.0
2007-05-21,30.7974575,32.43498085,24000000.0
2007-05-22,32.7204207,31.9993095,24000000.0
2007-05-23,31.6688002,31.9993095,24000000.0
2007-05-24,32.07442525,31.0979205,24000000.0
2007-05-25,31.0378279,31.47349925,24000000.0
2007-05-28,31.71386965,32.1795873,24000000.0
2007-05-29,32.46502715,32.25470305,24000000.0
2007-05-30,30.947689,29.0547721,24000000.0
2007-05-31,28.58905445,29.43035085,24000000.0
2007-06-01,28.61910075,29.61062865,24000000.0
2007-06-04,29.5956055,26.90646165,24000000.0
2007-06-05,26.90646165,26.90646165,24000000.0
2007-06-06,26.90646165,26.90646165,24000000.0
2007-06-07,26.90646165,26.90646165,24000000.0
2007-06-08,26.90646165,26.90646165,24000000.0
2007-06-11,26.90646165,26.90646165,24000000.0
2007-06-12,26.90646165,26.90646165,24000000.0
2007-06-13,26.90646165,26.90646165,24000000.0
2007-06-14,26.90646165,26.90646165,24000000.0
2007-06-15,26.90646165,26.90646165,24000000.0
2007-06-18,26.90646165,26.90646165,24000000.0
2007-06-19,26.90646165,26.90646165,24000000.0
2007-06-20,26.90646165,26.90646165,24000000.0
2007-06-21,26.90646165,26.90646165,24000000.0
2007-06-22,26.90646165,26.90646165,24000000.0
2007-06-25,26.90646165,26.90646165,24000000.0
2007-06-26,26.90646165,26.90646165,24000000.0
2007-06-27,26.90646165,26.90646165,24000000.0
2007-06-28,26.90646165,26.90646165,24000000.0
2007-06-29,26.90646165,26.90646165,24000000.0
2007-07-02,26.90646165,26.90646165,24000000.0
2007-07-03,26.90646165,26.90646165,24000000.0
2007-07-04,26.90646165,26.90646165,24000000.0
2007-07-05,26.90646165,26.90646165,24000000.0
2007-07-06,26.90646165,26.90646165,24000000.0
2007-07-09,26.90646165,26.90646165,24000000.0
2007-07-10,26.90646165,26.90646165,24000000.0
2007-07-11,26.90646165,26.90646165,24000000.0
2007-07-12,26.90646165,26.90646165,24000000.0
2007-07-13,26.90646165,26.90646165,24000000.0
2007-07-16,26.90646165,26.90646165,24000000.0
2007-07-17,26.90646165,26.90646165,24000000.0
2007-07-18,26.90646165,26.90646165,24000000.0
2007-07-19,26.90646165,26.90646165,24000000.0
2007-07-20,26.90646165,26.90646165,24000000.0
2007-07-23,26.90646165,26.90646165,24000000.0
2007-07-24,26.90646165,26.90646165,24000000.0
2007-07-25,26.90646165,26.90646165,24000000.0
2007-07-26,26.90646165,26.90646165,24000000.0
2007-07-27,26.90646165,26.90646165,24000000.0
2007-07-30,26.90646165,26.90646165,24000000.0
2007-07-31,26.90646165,26.90646165,24000000.0
2007-08-01,26.90646165,26.90646165,24000000.0
2007-08-02,26.90646165,26.90646165,24000000.0
2007-08-03,26.90646165,26.90646165,24000000.0
2007-08-06,26.90646165,26.90646165,24000000.0
2007-08-07,26.90646165,26.90646165,24000000.0
