date,openrecovered,closerecovered,outstandingshares
2010-07-08,14.5,14.29,64000000.0
2010-07-09,14.0,14.14,64000000.0
2010-07-12,13.95,13.92,64000000.0
2010-07-13,13.71,14.15,64000000.0
2010-07-14,14.05,13.92,64000000.0
2010-07-15,13.74,13.2,64000000.0
2010-07-16,13.01,13.1,64000000.0
2010-07-19,12.89,13.12,64000000.0
2010-07-20,13.09,13.3,64000000.0
2010-07-21,13.25,13.28,64000000.0
2010-07-22,13.29,13.43,64000000.0
2010-07-23,13.45,13.33,64000000.0
2010-07-26,13.37,13.55,64000000.0
2010-07-27,13.49,13.35,64000000.0
2010-07-28,13.35,13.53,64000000.0
2010-07-29,13.53,13.54,64000000.0
2010-07-30,13.55,13.53,64000000.0
2010-08-02,13.54,13.93,64000000.0
2010-08-03,13.85,13.74,64000000.0
2010-08-04,13.69,14.03,64000000.0
2010-08-05,14.18,14.33,64000000.0
2010-08-06,14.32,15.19,64000000.0
2010-08-09,15.33,15.11,64000000.0
2010-08-10,15.0,14.79,64000000.0
2010-08-11,14.86,14.71,64000000.0
2010-08-12,14.5,14.7,64000000.0
2010-08-13,14.68,14.75,64000000.0
2010-08-16,14.75,14.75,64000000.0
2010-08-17,15.02,14.64,64000000.0
2010-08-18,14.65,14.31,64000000.0
2010-08-19,14.37,14.95,64000000.0
2010-08-20,14.85,14.78,64000000.0
2010-08-23,14.8,14.77,64000000.0
2010-08-24,14.83,15.06,64000000.0
2010-08-25,15.06,15.32,64000000.0
2010-08-26,15.46,16.04,64000000.0
2010-08-27,16.11,16.8,64000000.0
2010-08-30,16.88,16.94,64000000.0
2010-08-31,16.83,16.95,64000000.0
2010-09-01,17.08,16.55,64000000.0
2010-09-02,16.91,18.21,64000000.0
2010-09-03,18.5,17.42,64000000.0
2010-09-06,17.21,16.16,64000000.0
2010-09-07,16.14,16.81,64000000.0
2010-09-08,16.63,17.38,64000000.0
2010-09-09,17.31,16.92,64000000.0
2010-09-10,16.81,17.27,64000000.0
2010-09-13,17.02,17.49,64000000.0
2010-09-14,17.5,17.57,64000000.0
2010-09-15,17.55,16.93,64000000.0
2010-09-16,16.83,16.85,64000000.0
2010-09-17,17.01,16.4,64000000.0
2010-09-20,16.4,15.9,64000000.0
2010-09-21,16.0,15.03,64000000.0
2010-09-27,15.21,15.46,64000000.0
2010-09-28,15.47,15.27,64000000.0
2010-09-29,15.16,14.93,64000000.0
2010-09-30,14.84,15.26,64000000.0
2010-10-08,15.0,15.55,80000000.0
2010-10-11,15.62,16.2,80000000.0
2010-10-12,16.01,15.75,80000000.0
2010-10-13,15.78,15.52,80000000.0
2010-10-14,15.53,15.1,80000000.0
2010-10-15,15.13,14.74,80000000.0
2010-10-18,14.64,13.77,80000000.0
2010-10-19,13.66,14.51,80000000.0
2010-10-20,14.24,14.45,80000000.0
2010-10-21,14.42,14.17,80000000.0
2010-10-22,14.17,14.95,80000000.0
2010-10-25,14.98,15.1,80000000.0
2010-10-26,15.02,14.99,80000000.0
2010-10-27,14.92,15.4,80000000.0
2010-10-28,15.39,15.65,80000000.0
2010-10-29,15.64,16.37,80000000.0
2010-11-01,16.38,17.03,80000000.0
2010-11-02,17.24,16.22,80000000.0
2010-11-03,15.99,16.35,80000000.0
2010-11-04,16.34,16.26,80000000.0
2010-11-05,16.35,16.27,80000000.0
2010-11-08,16.42,16.57,80000000.0
2010-11-09,16.57,16.57,80000000.0
2010-11-10,16.75,16.12,80000000.0
2010-11-11,16.18,16.22,80000000.0
2010-11-12,16.05,14.8,80000000.0
2010-11-15,15.05,15.48,80000000.0
2010-11-16,15.6,15.22,80000000.0
2010-11-17,15.25,15.08,80000000.0
2010-11-18,15.15,15.15,80000000.0
2010-11-19,15.25,15.55,80000000.0
2010-11-22,15.4,15.47,80000000.0
2010-11-23,15.42,15.2,80000000.0
2010-11-24,15.1,15.43,80000000.0
2010-11-25,15.55,15.39,80000000.0
2010-11-26,15.38,15.66,80000000.0
2010-11-29,15.64,16.0,80000000.0
2010-11-30,15.98,15.32,80000000.0
2010-12-01,15.31,15.3,80000000.0
2010-12-02,15.46,15.38,80000000.0
2010-12-03,15.43,15.33,80000000.0
