date,openrecovered,closerecovered,outstandingshares
2010-01-28,8.02,7.79,849550000.0
2010-01-29,7.73,7.82,849550000.0
2010-02-01,7.7,7.72,849550000.0
2010-02-02,7.76,7.34,849550000.0
2010-02-03,7.3,7.48,849550000.0
2010-02-04,7.31,7.58,849550000.0
2010-02-05,7.3,7.38,849550000.0
2010-02-08,7.46,7.43,849550000.0
2010-02-09,7.39,7.38,849550000.0
2010-02-10,7.44,7.43,849550000.0
2010-02-11,7.44,7.36,849550000.0
2010-02-12,7.39,7.39,849550000.0
2010-02-22,7.38,7.35,849550000.0
2010-02-23,7.33,7.28,849550000.0
2010-02-24,7.24,7.38,849550000.0
2010-02-25,7.39,7.57,849550000.0
2010-02-26,7.5,7.56,849550000.0
2010-03-01,7.53,7.59,849550000.0
2010-03-02,7.59,7.49,849550000.0
2010-03-03,7.48,7.69,849550000.0
2010-03-04,7.67,7.41,849550000.0
2010-03-05,7.45,7.42,849550000.0
2010-03-08,7.46,7.54,849550000.0
2010-03-09,7.51,7.5,849550000.0
2010-03-10,7.5,7.45,849550000.0
2010-03-11,7.46,7.5,849550000.0
2010-03-12,7.5,7.4,849550000.0
2010-03-15,7.39,7.34,849550000.0
2010-03-16,7.34,7.33,849550000.0
2010-03-17,7.34,7.43,849550000.0
2010-03-18,7.43,7.61,849550000.0
2010-03-19,7.58,7.57,849550000.0
2010-03-22,7.59,7.59,849550000.0
2010-03-23,7.61,7.49,849550000.0
2010-03-24,7.49,7.5,849550000.0
2010-03-25,7.5,7.39,849550000.0
2010-03-26,7.4,7.49,849550000.0
2010-03-29,7.49,7.68,849550000.0
2010-03-30,7.6,7.65,849550000.0
2010-03-31,7.62,7.56,849550000.0
2010-04-01,7.56,8.32,849550000.0
2010-04-02,8.39,8.23,849550000.0
2010-04-06,8.21,8.21,849550000.0
2010-04-07,8.21,8.19,849550000.0
2010-04-08,8.18,8.08,849550000.0
2010-04-09,8.04,8.08,849550000.0
2010-04-12,8.08,7.89,849550000.0
2010-04-13,7.86,8.15,849550000.0
2010-04-14,8.1,8.06,849550000.0
2010-04-15,8.06,7.94,849550000.0
2010-04-16,7.94,7.92,849550000.0
2010-04-19,7.83,7.56,849550000.0
2010-04-20,7.59,7.67,849550000.0
2010-04-21,7.66,7.73,849550000.0
2010-04-22,7.66,7.73,849550000.0
2010-04-23,7.71,7.65,849550000.0
2010-04-26,7.64,7.39,849550000.0
2010-04-27,7.39,7.3,849550000.0
2010-04-28,7.21,7.01,1307000000.0
2010-04-29,7.04,7.01,1307000000.0
2010-04-30,7.01,7.03,1307000000.0
2010-05-04,6.9,6.78,1307000000.0
2010-05-05,6.72,7.14,1307000000.0
2010-05-06,7.05,6.76,1307000000.0
2010-05-07,6.68,6.77,1307000000.0
2010-05-10,6.77,6.91,1307000000.0
2010-05-11,7.05,6.84,1307000000.0
2010-05-12,6.83,6.86,1307000000.0
2010-05-13,6.87,6.96,1307000000.0
2010-05-14,6.89,6.81,1307000000.0
2010-05-17,6.7,6.37,1307000000.0
2010-05-18,6.37,6.37,1307000000.0
2010-05-19,6.44,6.4,1307000000.0
2010-05-20,6.37,6.31,1307000000.0
2010-05-21,6.11,6.26,1307000000.0
2010-05-24,6.26,6.49,1307000000.0
2010-05-25,6.43,6.4,1307000000.0
2010-05-26,6.4,6.48,1307000000.0
2010-05-27,6.43,6.53,1307000000.0
2010-05-28,6.59,6.51,1307000000.0
2010-05-31,6.47,6.21,1307000000.0
2010-06-01,6.14,6.16,1307000000.0
2010-06-02,6.14,6.21,1307000000.0
2010-06-03,6.23,6.23,1307000000.0
2010-06-04,6.18,6.21,1307000000.0
2010-06-07,6.08,6.15,1307000000.0
2010-06-08,6.16,6.18,1307000000.0
2010-06-09,6.21,6.4,1307000000.0
2010-06-10,6.31,6.37,1307000000.0
2010-06-11,6.4,6.46,1307000000.0
2010-06-17,6.54,6.47,1307000000.0
2010-06-18,6.46,6.38,1307000000.0
2010-06-21,6.4,6.57,1307000000.0
2010-06-22,6.54,6.54,1307000000.0
2010-06-23,6.51,6.41,1307000000.0
2010-06-24,6.38,6.38,1307000000.0
2010-06-25,6.36,6.3,1307000000.0
2010-06-28,6.32,6.35,1307000000.0
2010-06-29,6.37,6.43,1307000000.0
2010-06-30,6.29,6.49,1307000000.0
2010-07-01,6.46,6.61,1307000000.0
2010-07-02,6.6,6.74,1307000000.0
2010-07-05,6.65,6.59,1307000000.0
2010-07-06,6.56,6.68,1307000000.0
2010-07-07,6.7,6.75,1307000000.0
2010-07-08,6.75,6.67,1307000000.0
2010-07-09,6.67,6.87,1307000000.0
2010-07-12,6.85,6.84,1307000000.0
2010-07-13,6.8,6.78,1307000000.0
2010-07-14,6.78,6.82,1307000000.0
2010-07-15,6.79,6.61,1307000000.0
2010-07-16,6.58,6.61,1307000000.0
2010-07-19,6.55,6.73,1307000000.0
2010-07-20,6.7,6.84,1307000000.0
2010-07-21,6.85,6.79,1307000000.0
2010-07-22,6.78,6.9,1307000000.0
2010-07-23,6.91,6.94,1307000000.0
2010-07-26,6.95,6.93,1307000000.0
2010-07-27,6.91,6.89,1307000000.0
2010-07-28,6.89,7.03,1307000000.0
2010-07-29,7.04,6.98,1307000000.0
2010-07-30,6.97,6.96,1307000000.0
2010-08-02,6.96,6.98,1307000000.0
2010-08-03,7.0,6.86,1307000000.0
2010-08-04,6.82,6.85,1307000000.0
2010-08-05,6.82,6.72,1307000000.0
2010-08-06,6.77,7.12,1307000000.0
2010-08-09,7.09,7.05,1307000000.0
2010-08-10,7.04,6.83,1307000000.0
2010-08-11,6.8,6.85,1307000000.0
2010-08-12,6.78,6.72,1307000000.0
2010-08-13,6.83,6.91,1307000000.0
2010-08-16,6.92,7.17,1307000000.0
2010-08-17,7.18,7.18,1307000000.0
2010-08-18,7.19,7.16,1307000000.0
2010-08-19,7.16,7.14,1307000000.0
2010-08-20,7.15,7.07,1307000000.0
2010-08-23,7.09,7.02,1307000000.0
2010-08-24,7.02,7.25,1307000000.0
2010-08-25,7.2,7.1,1307000000.0
2010-08-26,7.1,7.11,1307000000.0
2010-08-27,7.09,7.12,1307000000.0
2010-08-30,7.14,7.19,1307000000.0
2010-08-31,7.17,7.08,1307000000.0
2010-09-01,7.08,6.94,1307000000.0
2010-09-02,6.99,7.0,1307000000.0
2010-09-03,7.0,7.08,1307000000.0
2010-09-06,7.08,7.08,1307000000.0
2010-09-07,7.25,7.16,1307000000.0
2010-09-08,7.1,7.18,1307000000.0
2010-09-09,7.21,7.03,1307000000.0
2010-09-10,7.02,7.18,1307000000.0
2010-09-13,7.18,7.21,1307000000.0
2010-09-14,7.23,7.19,1307000000.0
2010-09-15,7.19,7.25,1307000000.0
2010-09-16,7.24,7.2,1307000000.0
2010-09-17,7.21,7.14,1307000000.0
2010-09-20,7.14,7.03,1307000000.0
2010-09-21,7.05,7.05,1307000000.0
2010-09-27,7.07,7.16,1307000000.0
2010-09-28,7.13,7.11,1307000000.0
2010-09-29,7.07,7.05,1307000000.0
2010-09-30,7.03,7.15,1307000000.0
2010-10-08,7.2,7.22,1307000000.0
2010-10-11,7.24,7.52,1307000000.0
2010-10-12,7.45,7.47,1307000000.0
2010-10-13,7.5,7.46,1307000000.0
2010-10-14,7.46,7.5,1307000000.0
2010-10-15,7.46,7.75,1307000000.0
2010-10-18,7.9,7.76,1307000000.0
2010-10-19,7.72,7.77,1307000000.0
2010-10-20,7.6,7.58,1307000000.0
2010-10-21,7.66,7.44,1307000000.0
2010-10-22,7.43,7.49,1307000000.0
2010-10-25,7.5,7.63,1307000000.0
2010-10-26,7.55,7.48,1307000000.0
2010-10-27,7.44,7.38,1307000000.0
2010-10-28,7.34,7.37,1307000000.0
2010-10-29,7.39,7.44,1307000000.0
2010-11-01,7.44,7.45,1307000000.0
2010-11-02,7.43,7.6,1307000000.0
2010-11-03,7.58,7.69,1307000000.0
2010-11-04,7.74,7.75,1307000000.0
2010-11-05,7.76,7.88,1307000000.0
2010-11-08,7.93,8.19,1307000000.0
2010-11-09,8.2,7.98,1307000000.0
2010-11-10,7.96,8.05,1307000000.0
2010-11-11,7.98,7.89,1307000000.0
2010-11-12,7.83,7.41,1307000000.0
2010-11-15,7.45,7.57,1307000000.0
2010-11-16,7.58,7.49,1307000000.0
2010-11-17,7.43,7.51,1307000000.0
2010-11-18,7.57,7.7,1307000000.0
2010-11-19,7.72,7.85,1307000000.0
2010-11-22,7.8,7.92,1307000000.0
2010-11-23,7.88,7.84,1307000000.0
2010-11-24,7.83,8.09,1307000000.0
2010-11-25,8.03,8.01,1307000000.0
2010-11-26,8.0,7.87,1307000000.0
2010-11-29,7.81,7.93,1307000000.0
2010-11-30,7.9,7.71,1307000000.0
2010-12-01,7.71,7.74,1307000000.0
2010-12-02,7.79,7.67,1307000000.0
2010-12-03,7.7,7.7,1307000000.0
2010-12-06,7.73,7.65,1307000000.0
2010-12-07,7.6,7.76,1307000000.0
2010-12-08,7.76,7.84,1307000000.0
2010-12-09,7.85,7.88,1307000000.0
2010-12-10,7.83,8.08,1307000000.0
2010-12-13,8.07,8.29,1307000000.0
2010-12-14,8.31,8.27,1307000000.0
2010-12-15,8.25,8.17,1307000000.0
2010-12-16,8.26,8.18,1307000000.0
2010-12-17,8.19,8.16,1307000000.0
2010-12-20,8.18,8.15,1307000000.0
2010-12-21,8.16,8.38,1307000000.0
2010-12-22,8.39,8.2,1307000000.0
2010-12-23,8.17,8.06,1307000000.0
2010-12-24,8.01,7.85,1307000000.0
2010-12-27,7.92,7.76,1307000000.0
2010-12-28,7.71,7.7,1307000000.0
2010-12-29,7.74,7.97,1307000000.0
2010-12-30,7.94,7.86,1307000000.0
2010-12-31,7.87,7.9,1307000000.0
2011-01-04,7.91,8.14,1307000000.0
2011-01-05,8.08,8.21,1307000000.0
2011-01-06,8.36,8.11,1307000000.0
2011-01-07,8.18,8.18,1307000000.0
2011-01-10,8.22,8.06,1307000000.0
2011-01-11,8.01,8.03,1307000000.0
2011-01-12,8.03,7.94,1307000000.0
2011-01-13,7.96,8.0,1307000000.0
2011-01-14,8.0,7.79,1307000000.0
2011-01-17,7.7,7.23,1307000000.0
2011-01-18,7.2,7.25,1307000000.0
2011-01-19,7.26,7.43,1307000000.0
2011-01-20,7.43,7.12,1307000000.0
2011-01-21,7.08,7.31,1307000000.0
2011-01-24,7.32,7.4,1307000000.0
2011-01-25,7.39,7.32,1307000000.0
2011-01-26,7.3,7.47,1307000000.0
2011-01-27,7.39,8.22,1307000000.0
2011-01-28,8.31,8.14,1467000000.0
2011-01-31,8.15,8.28,1467000000.0
2011-02-01,8.28,8.29,1467000000.0
2011-02-09,8.2,8.51,1467000000.0
2011-02-10,8.4,8.44,1467000000.0
2011-02-11,8.46,8.6,1467000000.0
2011-02-14,8.66,8.61,1467000000.0
2011-02-15,8.57,8.53,1467000000.0
2011-02-16,8.53,8.56,1467000000.0
2011-02-17,8.59,8.48,1467000000.0
2011-02-18,8.49,8.31,1467000000.0
2011-02-21,8.24,8.38,1467000000.0
2011-02-22,8.39,8.16,1467000000.0
2011-02-23,8.12,8.26,1467000000.0
2011-02-24,8.27,8.42,1467000000.0
2011-02-25,8.42,8.32,1467000000.0
2011-02-28,8.4,8.56,1467000000.0
2011-03-01,8.57,8.59,1467000000.0
2011-03-02,8.54,8.35,1467000000.0
2011-03-03,8.36,8.14,1467000000.0
2011-03-04,8.15,8.25,1467000000.0
2011-03-07,8.25,8.32,1467000000.0
2011-03-08,8.32,8.46,1467000000.0
2011-03-09,8.47,8.47,1467000000.0
2011-03-10,8.45,8.35,1467000000.0
2011-03-11,8.28,8.21,1467000000.0
2011-03-14,8.15,8.21,1467000000.0
2011-03-15,8.18,8.02,1467000000.0
2011-03-16,7.99,8.06,1467000000.0
2011-03-17,8.15,8.36,1467000000.0
2011-03-18,8.46,8.38,1467000000.0
2011-03-21,8.32,8.23,1467000000.0
2011-03-22,8.23,8.15,1467000000.0
2011-03-23,8.22,8.35,1467000000.0
2011-03-24,8.39,8.38,1467000000.0
2011-03-25,8.38,8.48,1467000000.0
2011-03-28,8.61,8.4,1467000000.0
2011-03-29,8.0,7.59,1467000000.0
2011-03-30,7.47,7.46,1467000000.0
2011-03-31,7.49,7.33,1467000000.0
2011-04-01,7.3,7.42,1467000000.0
2011-04-06,7.41,7.47,1467000000.0
2011-04-07,7.46,7.48,1467000000.0
2011-04-08,7.49,7.51,1467000000.0
2011-04-11,7.55,7.42,1467000000.0
2011-04-12,7.42,7.44,1467000000.0
2011-04-13,7.41,7.57,1467000000.0
2011-04-14,7.57,7.54,1467000000.0
2011-04-15,7.54,7.46,1467000000.0
2011-04-18,7.45,7.44,1467000000.0
2011-04-19,7.4,7.4,1467000000.0
2011-04-20,7.39,7.4,1467000000.0
2011-04-21,7.4,7.44,1467000000.0
2011-04-22,7.43,7.28,1467000000.0
2011-04-25,7.29,7.08,1467000000.0
2011-04-26,7.08,7.11,1467000000.0
2011-04-27,7.15,7.01,1467000000.0
2011-04-28,7.0,6.7,1467000000.0
2011-04-29,6.8,6.79,1467000000.0
2011-05-03,6.8,6.82,1467000000.0
2011-05-04,6.76,6.66,1467000000.0
2011-05-05,6.67,6.66,1467000000.0
2011-05-06,6.64,6.7,1467000000.0
2011-05-09,6.71,6.66,1467000000.0
2011-05-10,6.73,6.75,1467000000.0
2011-05-11,6.76,6.7,1467000000.0
2011-05-12,6.68,6.66,1467000000.0
2011-05-13,6.66,6.7,1467000000.0
2011-05-16,6.7,6.73,1467000000.0
2011-05-17,6.75,6.68,1467000000.0
2011-05-18,6.68,6.68,1467000000.0
2011-05-19,6.7,6.62,1467000000.0
2011-05-20,6.61,6.56,1467000000.0
2011-05-23,6.53,6.23,1467000000.0
2011-05-24,6.22,6.2,1467000000.0
2011-05-25,6.21,6.17,1467000000.0
2011-05-26,6.19,6.15,1467000000.0
2011-05-27,6.15,6.13,1467000000.0
2011-05-30,6.13,6.07,1467000000.0
2011-05-31,6.09,6.17,1467000000.0
2011-06-01,6.18,6.16,1467000000.0
2011-06-02,6.13,6.26,1467000000.0
2011-06-03,6.22,6.3,1467000000.0
2011-06-07,6.35,6.28,1467000000.0
2011-06-08,6.29,6.22,1467000000.0
2011-06-09,6.21,6.09,1467000000.0
2011-06-10,6.07,6.09,1467000000.0
2011-06-13,6.09,6.17,1467000000.0
2011-06-14,6.18,6.19,1467000000.0
