date,openrecovered,closerecovered,outstandingshares
2011-06-22,15.16,15.27,16000000.0
2011-06-23,14.88,16.8,16000000.0
2011-06-24,17.31,18.45,16000000.0
2011-06-27,17.98,18.7,16000000.0
2011-06-28,18.2,18.75,16000000.0
2011-06-29,18.5,17.81,16000000.0
2011-06-30,17.7,17.97,16000000.0
2011-07-01,17.95,18.5,16000000.0
2011-07-04,18.5,18.78,16000000.0
2011-07-05,18.74,19.99,16000000.0
2011-07-06,19.58,19.83,16000000.0
2011-07-07,19.68,20.31,16000000.0
2011-07-08,20.2,20.79,16000000.0
2011-07-11,20.8,20.85,16000000.0
2011-07-12,20.51,19.95,16000000.0
2011-07-13,19.91,20.93,16000000.0
2011-07-14,20.93,20.74,16000000.0
2011-07-15,20.74,20.55,16000000.0
2011-07-18,20.61,20.05,16000000.0
2011-07-19,19.87,19.08,16000000.0
2011-07-20,19.2,19.43,16000000.0
2011-07-21,19.3,18.98,16000000.0
2011-07-22,18.97,19.3,16000000.0
2011-07-25,19.11,17.95,16000000.0
2011-07-26,17.78,18.39,16000000.0
2011-07-27,18.22,19.17,16000000.0
2011-07-28,18.86,19.58,16000000.0
2011-07-29,19.33,18.8,16000000.0
2011-08-01,18.69,20.21,16000000.0
2011-08-02,20.0,20.99,16000000.0
2011-08-03,20.59,21.0,16000000.0
2011-08-04,21.0,20.67,16000000.0
2011-08-05,19.77,20.52,16000000.0
2011-08-08,20.21,20.99,16000000.0
2011-08-09,20.06,20.12,16000000.0
2011-08-10,20.52,22.13,16000000.0
2011-08-11,21.91,22.9,16000000.0
2011-08-12,22.5,22.5,16000000.0
2011-08-15,22.4,22.71,16000000.0
2011-08-16,22.6,22.16,16000000.0
2011-08-17,22.03,22.56,16000000.0
2011-08-18,22.39,22.16,16000000.0
2011-08-19,21.29,21.48,16000000.0
2011-08-22,21.51,22.35,16000000.0
2011-08-23,22.36,24.59,16000000.0
2011-08-24,24.33,24.15,16000000.0
2011-08-25,24.2,23.89,16000000.0
2011-08-26,23.75,24.67,16000000.0
2011-08-29,24.47,24.72,16000000.0
2011-08-30,24.81,23.77,16000000.0
2011-08-31,23.5,24.42,16000000.0
2011-09-01,24.28,25.3,16000000.0
2011-09-02,25.18,24.83,16000000.0
2011-09-05,24.15,24.36,16000000.0
2011-09-06,23.81,22.5,16000000.0
2011-09-07,22.64,23.88,16000000.0
2011-09-08,24.0,23.58,16000000.0
2011-09-09,23.78,22.56,16000000.0
2011-09-13,21.8,21.7,16000000.0
2011-09-14,21.9,22.6,16000000.0
2011-09-15,22.6,22.42,16000000.0
2011-09-16,22.55,21.8,16000000.0
2011-09-19,21.49,20.8,16000000.0
2011-09-20,20.81,20.95,16000000.0
2011-09-21,20.9,21.78,16000000.0
2011-09-22,21.5,20.42,20000000.0
2011-09-23,19.8,20.33,20000000.0
2011-09-26,20.3,19.89,20000000.0
2011-09-27,20.15,19.51,20000000.0
2011-09-28,19.65,18.78,20000000.0
2011-09-29,18.4,18.58,20000000.0
2011-09-30,18.4,18.01,20000000.0
2011-10-10,18.3,18.1,20000000.0
2011-10-11,18.5,18.26,20000000.0
2011-10-12,18.04,19.76,20000000.0
2011-10-13,19.5,20.17,20000000.0
2011-10-14,20.02,20.1,20000000.0
2011-10-17,20.12,20.4,20000000.0
2011-10-18,20.05,19.05,20000000.0
2011-10-19,19.03,19.05,20000000.0
2011-10-20,19.03,18.35,20000000.0
2011-10-21,18.25,17.4,20000000.0
2011-10-24,17.15,17.93,20000000.0
2011-10-25,17.98,18.79,20000000.0
2011-10-26,18.6,18.89,20000000.0
2011-10-27,19.07,19.32,20000000.0
2011-10-28,19.92,20.29,20000000.0
2011-10-31,20.02,20.3,20000000.0
2011-11-01,20.04,20.4,20000000.0
2011-11-02,20.0,21.48,20000000.0
2011-11-03,21.38,21.0,20000000.0
2011-11-04,21.1,20.92,20000000.0
2011-11-07,20.81,20.84,20000000.0
2011-11-08,20.84,20.05,20000000.0
2011-11-09,20.2,20.66,20000000.0
2011-11-10,20.31,20.5,20000000.0
2011-11-11,20.5,20.59,20000000.0
2011-11-14,20.88,21.84,20000000.0
2011-11-15,21.8,22.0,20000000.0
2011-11-16,21.89,21.93,20000000.0
2011-11-17,21.93,23.22,20000000.0
2011-11-18,22.85,22.35,20000000.0
2011-11-21,22.43,22.43,20000000.0
2011-11-22,22.1,23.2,20000000.0
2011-11-23,23.3,23.15,20000000.0
2011-11-24,22.5,22.73,20000000.0
2011-11-25,22.69,23.47,20000000.0
2011-11-28,23.51,23.33,20000000.0
