date,openrecovered,closerecovered,outstandingshares
2010-08-03,28.8,31.44,112000000.0
2010-08-04,30.58,31.99,112000000.0
2010-08-05,33.2,32.39,112000000.0
2010-08-06,32.2,33.17,112000000.0
2010-08-09,32.93,33.31,112000000.0
2010-08-10,33.5,33.05,112000000.0
2010-08-11,32.9,32.0,112000000.0
2010-08-12,31.67,30.64,112000000.0
2010-08-13,30.65,31.15,112000000.0
2010-08-16,31.0,31.55,112000000.0
2010-08-17,31.45,31.27,112000000.0
2010-08-18,31.3,31.32,112000000.0
2010-08-19,31.29,30.95,112000000.0
2010-08-20,30.8,31.42,112000000.0
2010-08-23,31.65,32.28,112000000.0
2010-08-24,32.26,31.92,112000000.0
2010-08-25,31.92,30.72,112000000.0
2010-08-26,31.2,30.9,112000000.0
2010-08-27,30.61,30.81,112000000.0
2010-08-30,31.14,31.4,112000000.0
2010-08-31,31.05,32.0,112000000.0
2010-09-01,31.9,32.38,112000000.0
2010-09-02,32.73,32.77,112000000.0
2010-09-03,32.9,32.33,112000000.0
2010-09-06,32.47,35.56,112000000.0
2010-09-07,35.44,34.55,112000000.0
2010-09-08,34.2,34.55,112000000.0
2010-09-09,34.3,33.62,112000000.0
2010-09-10,33.8,34.41,112000000.0
2010-09-13,34.33,34.46,112000000.0
2010-09-14,34.5,34.49,112000000.0
2010-09-15,34.48,33.1,112000000.0
2010-09-16,33.0,32.09,112000000.0
2010-09-17,32.25,32.03,112000000.0
2010-09-20,32.21,31.16,112000000.0
2010-09-21,31.24,31.3,112000000.0
2010-09-27,31.3,31.3,112000000.0
2010-09-28,31.8,31.09,112000000.0
2010-09-29,31.0,31.32,112000000.0
2010-09-30,31.0,31.83,112000000.0
2010-10-08,32.22,33.14,112000000.0
2010-10-11,33.0,33.1,112000000.0
2010-10-12,33.1,34.0,112000000.0
2010-10-13,33.89,33.89,112000000.0
2010-10-14,33.9,31.96,112000000.0
2010-10-15,31.9,31.52,112000000.0
2010-10-18,31.8,33.71,112000000.0
2010-10-19,33.41,34.44,112000000.0
2010-10-20,34.0,36.96,112000000.0
2010-10-21,36.3,35.86,112000000.0
2010-10-22,35.5,35.25,112000000.0
2010-10-25,36.0,36.21,112000000.0
