,OPEN,HIGH,LOW,CLOSE,VWAP,VOLUME,AMT,TURN,TOTAL_SHARES,FREE_FLOAT_SHARES,MKT_CAP_ARD,MKT_FREESHARES,PE_TTM,VAL_PB_WGT,DIVIDENDYIELD2
2005-06-06,816.731,839.15,807.784,838.997,5.20025566574557,900918500.0,4685006534.0,0.8181,451116506190.0,108762393685.0,2136794513618.0,530481545060.81,13.336799621582031,1.6448,2.6638
2005-06-07,841.579,858.092,835.179,837.282,5.547210463739838,1306706800.0,7248577634.0,1.1866,451198487438.0,108762393685.0,2124315496543.0,529198434888.7701,13.258899688720703,1.6357,2.6941
2005-06-08,848.536,908.829,844.473,905.773,5.2919136522455945,3290783900.0,17414544247.0,2.9878,451802015784.0,108782774201.0,2303476650797.0,572463294956.6798,14.377099990844728,1.7737,2.2823
2005-06-09,907.569,925.365,895.036,912.604,5.3655397539786565,3314184000.0,17782386004.0,3.0089,451802015784.0,108790760201.0,2335093222342.0,577011209290.1403,14.57450008392334,1.7984,2.2476
2005-06-10,911.941,911.941,889.103,894.556,5.362192553228453,2239150200.0,12006754528.0,2.0329,451802015784.0,108790760201.0,2282509134471.0,565263619950.2399,14.246299743652344,1.758,2.2681
2005-06-13,894.997,900.18,877.69,892.959,5.08322188082648,1562800200.0,7944060172.0,1.4188,451802015784.0,108790760201.0,2276942319676.0,563207232262.74,14.21150016784668,1.7621,2.4862
2005-06-14,895.391,905.415,882.862,883.537,5.36273079993335,1434357000.0,7692070462.0,1.3001,451884332304.00006,108974439137.0,2256329911770.0,557020688249.57,14.082900047302246,1.7466,2.5234
2005-06-15,881.208,881.248,865.136,866.834,5.476060401660337,1145405600.0,6272310250.0,1.038,451884332304.00006,108974439137.0,2215271398865.0,546151015728.71,13.826600074768066,1.7156,2.5459
2005-06-16,866.659,879.493,861.827,879.237,5.534338031355645,1104968500.0,6115269193.0,1.0013,451884332304.00006,108974439137.0,2242063610459.0,553449689795.2,13.993800163269045,1.7391,2.5856
2005-06-17,883.605,888.078,876.038,880.345,5.537292654171363,1496300900.0,8285455982.0,1.3557,453130196083.0,108995502916.0,2239733363244.0,553752395758.7502,13.979299545288086,1.7378,2.5947
2005-06-20,881.623,906.482,872.563,906.255,5.418515768834612,1899208200.0,10290889580.0,1.7154,456559805062.0,109338789187.0,2303645588746.0,570077258928.3502,14.378199577331545,1.7889,2.5091
2005-06-21,906.306,906.306,894.386,896.166,5.394170775803333,1277478400.0,6890936652.0,1.1445,456559843188.0,110238859203.0,2269758600434.0,563513498549.2999,14.16670036315918,1.7638,2.5763
2005-06-22,894.769,901.243,891.926,900.646,5.613978071858978,1047813400.0,5882401451.0,0.9388,457235206775.0,110238859203.0,2269149815752.0,565984906972.8401,14.1628999710083,1.7693,2.5404
2005-06-23,900.059,904.896,892.831,893.572,5.747030544178399,950930800.0,5465028353.0,0.8506,457560786616.0,110413780931.0,2255857165182.0,561296874901.4702,14.079899787902832,1.7606,2.6112
2005-06-24,892.061,898.67,888.397,898.301,5.305891388905987,891873900.0,4732186046.0,0.7974,457560786616.0,110473780931.0,2273901183887.0,564041575121.6498,14.192500114440918,1.7767,2.6577
2005-06-27,904.209,920.647,904.209,916.043,5.381249566495876,1654540200.0,8903493734.0,1.4792,457560786616.0,110473780931.0,2316962523576.0,575316965270.7999,14.461299896240234,1.8103,2.5291
2005-06-28,913.48,913.48,901.207,903.716,5.322036054038086,1040221900.0,5536098456.0,0.929,457646898924.0,110592729298.0,2283302520534.0,567229361886.4202,14.25119972229004,1.7848,2.5925
2005-06-29,906.751,907.571,898.084,898.898,5.322599428171996,1080674600.0,5751998008.0,0.9651,457681026924.0,110592729298.0,2269305318397.0,561214023990.45,14.163800239562988,1.7746,2.6263
2005-06-30,897.102,897.102,876.884,878.686,5.156796746378232,1085547200.0,5597946269.0,0.9693,457921026924.0,110592729298.0,2216860338654.0,551888410550.24,13.845199584960938,1.7353,2.7413
2005-07-01,875.935,875.935,858.37,859.494,5.0390588351372525,1009459700.0,5086726820.0,0.901,460312356567.0,110646920358.0,2200565926707.0,545146805394.2799,13.33180046081543,1.7172,2.7458
2005-07-04,855.317,856.1,842.812,855.932,4.554268530273429,884027700.0,4026099534.0,0.7888,460342572369.0,110658398679.00002,2192163722337.0,542940086317.29016,13.28090000152588,1.7106,2.7494
2005-07-05,853.679,856.738,845.361,849.679,5.667272908688541,799268800.0,4529674417.0,0.7132,461064812117.0,110658398679.00002,2171974037295.0,538794400429.33,13.158499717712402,1.6949,2.8571
2005-07-06,850.253,854.448,838.609,842.556,5.258191537816342,689831400.0,3627265630.0,0.6149,461250753223.0,110770024586.0,2158478125938.0,534305446964.2498,13.076800346374512,1.6843,2.8781
2005-07-07,841.748,848.022,839.282,844.729,4.866823684499615,596246500.0,2901826588.0,0.531,461468557123.0,110785641776.0,2169448116719.0,535484831260.1101,13.143199920654297,1.6929,2.8693
2005-07-08,842.62,842.62,827.229,829.489,4.774667058579144,722100000.0,3447787083.0,0.6429,461468557123.0,110811542094.0,2133575335104.0,525741960802.1501,12.92590045928955,1.6648,2.9334
2005-07-11,837.863,850.658,822.524,824.097,4.849686887294546,843900600.0,4092653674.0,0.7482,461545319523.0,111275452363.00002,2121638034315.0,523600749680.4301,12.853599548339844,1.6555,2.8959
2005-07-12,821.911,854.286,818.863,851.816,5.016217463779375,1498987100.0,7519245269.0,1.329,461545319523.0,111275452363.00002,2192366691634.0,541149670446.5898,13.274299621582031,1.7105,2.8069
2005-07-13,850.469,851.949,841.858,846.231,4.972979051036288,939884200.0,4674024437.0,0.8333,461545319523.0,111275452363.00002,2176360492797.0,537590616696.2201,13.177300453186035,1.698,2.7805
2005-07-14,844.94,856.095,843.176,849.59,5.065769749480024,936196800.0,4742557429.0,0.8301,461545319523.0,111275452363.00002,2184800709130.0,539406609150.74005,13.228400230407717,1.7046,2.7706
2005-07-15,849.873,854.604,837.783,841.001,4.729073522511737,888956300.0,4203939701.000001,0.7881,461545319523.0,111288338863.0,2164134934561.0,533463273403.9601,13.090499877929688,1.6888,2.8847
2005-07-18,839.221,840.005,829.679,832.995,4.432649412247474,850000600.0,3767754660.0,0.7535,461545319523.0,111288338863.0,2145742697904.0,528152526114.25,12.97920036315918,1.6745,2.9178
2005-07-19,831.501,840.143,829.277,835.608,4.590735359076958,789181800.0,3622924794.0,0.6996,462277218123.0,111288338863.0,2147217555627.0,529564050717.11,12.983400344848633,1.6748,2.9379
2005-07-20,835.301,844.712,832.144,842.641,4.6366652213640975,852647300.0,3953440082.0,0.7544,463059018600.0,111510458863.0,2163846357852.0,533870265217.16986,13.084199905395508,1.6876,2.9181
2005-07-21,842.746,843.987,835.757,843.987,4.922838867233375,836610100.0,4118496717.0,0.7391,463059018600.0,111689544016.0,2166569161667.0,534500782837.7801,13.106499671936035,1.6894,2.8865
2005-07-22,847.541,867.165,842.987,859.693,4.720089198009373,2163097600.0,10210013616.0,1.9098,463189928445.0,111751149016.0,2218472179636.0,544470598123.5997,13.416600227355955,1.7297,2.826
2005-07-25,858.328,860.951,854.284,856.86,4.876731564952167,1181608000.0,5762385031.0,1.0432,463279512938.0,111751149016.0,2214234433230.0,542445324956.62994,13.389200210571287,1.7264,2.8309
2005-07-26,856.189,880.034,856.189,876.48,4.816827126003401,2182677600.0,10513580671.0,1.9262,463279512938.0,111802011256.00002,2274343432354.0,555010880349.1599,13.744400024414062,1.7726,2.7589
2005-07-27,876.942,894.026,876.036,894.012,4.746854018785434,2040953700.0,9688109273.0,1.8001,465354912938.0,111866811256.00002,2313173097112.0,566176880278.8002,13.953800201416016,1.8035,2.7347
2005-07-28,893.879,900.997,888.5,890.885,5.007327272744024,2062252700.0,10326374188.0,1.8171,465358094407.0,111977992725.00002,2307215293880.0,564170486642.3898,13.904199600219728,1.7986,2.7474
2005-07-29,889.41,892.294,883.383,888.164,4.78380816704368,1339740600.0,6409062024.0,1.2675,465358094407.0,112175718019.0,2296436796180.0,562387837681.1302,13.805100440979004,1.7888,2.7713
2005-08-01,887.718,897.285,885.85,891.607,4.616729513938025,1180830900.0,5451576867.0,1.0314,466598329136.0,112964335612.0,2311586657380.0,564609117137.8798,13.86970043182373,1.7997,2.7529
2005-08-02,892.13,903.648,888.396,903.598,4.507215338175904,1429254700.0,6441958706.0,1.248,466598329136.0,112964335612.0,2343437849380.0,572245471738.1802,14.111200332641602,1.8249,2.7165
2005-08-03,905.181,919.282,903.76,909.57,4.619421151496814,2578629800.0,11911777040.0,2.2516,466598329136.0,112964335612.0,2351164544302.0,576088061077.47,14.159500122070312,1.8304,2.7088
2005-08-04,907.42,909.827,901.625,904.15,4.602639458247723,1451925600.0,6682690057.0,1.2965,466534511221.00006,112964092062.0,2340531846266.0,572823574972.5499,14.102399826049805,1.8218,2.7233
2005-08-05,904.039,923.808,903.94,923.803,5.012446935004692,1912376500.0,9585685726.0,1.7045,466613161221.00006,112964092062.0,2390243832574.0,584805818245.17,14.407899856567385,1.8604,2.6738
2005-08-08,926.571,933.154,923.573,927.471,5.153309061747765,2160894400.0,11135756693.0,1.8851,466613161221.00006,112986585962.0,2407153288480.0,587074932914.9299,14.506799697875977,1.8735,2.6558
2005-08-09,926.973,933.394,919.107,933.089,4.968303615022587,1953290700.0,9704541246.0,1.7215,466613161221.00006,113085510793.99998,2430511275220.0,591077803366.74,14.623299598693848,1.8901,2.6318
2005-08-10,933.26,940.37,926.275,940.37,4.747618853210086,2151576300.0,10214864206.0,1.8753,466613161221.00006,113238033638.0,2454087040334.0,595634719373.86,14.75450038909912,1.9048,2.6073
2005-08-11,940.785,953.992,939.386,953.992,5.18661265600307,2707366600.0,14042061872.0,2.3623,466613186013.0,113250533638.0,2497635386124.0,604656459019.2397,14.972100257873535,1.9369,2.5626
2005-08-12,954.719,959.268,933.985,938.316,4.956624341953331,2916814400.0,14457553256.0,2.5846,467698269767.0,113321408638.0,2458015854688.0,596931665606.2999,14.73009967803955,1.9064,2.6844
2005-08-15,937.705,954.502,936.113,954.502,5.14099012212583,2043081300.0,10503460782.0,2.0367,467698269767.0,113843053638.0,2487102044832.0,606330138739.01,14.892600059509276,1.9271,2.6893
2005-08-16,955.27,959.343,939.916,945.058,5.282950247127021,2386181800.0,12606079730.0,2.0642,467824110293.0,113847894989.0,2456166567215.0,600337161632.9298,14.590700149536133,1.9005,2.7221
